ID,Name,Price,Mark,Model,Diagonal,Processor,The amount of RAM,Videocard,The amount of internal memory
s1,Apple MacBook Pro Intel Core i5 2.3GHz,661565.72,Apple,MacBook Pro,"13.3""",Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,128GB SSD
s2,Apple Macbook Air Intel Core i5 1.8GHz,443914.55,Apple,Macbook Air,"13.3""",Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,128GB Flash Storage
s3,HP 250 G6 Intel Core i5 7200U 2.5GHz,283946.50,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s4,Apple MacBook Pro Intel Core i7 2.7GHz,1253043.56,Apple,MacBook Pro,"15.4""",Intel Core i7 2.7GHz,16GB,AMD Radeon Pro 455,512GB SSD
s5,Apple MacBook Pro Intel Core i5 3.1GHz,890653.75,Apple,MacBook Pro,"13.3""",Intel Core i5 3.1GHz,8GB,Intel Iris Plus Graphics 650,256GB SSD
s6,Acer Aspire 3 AMD A9-Series 9420 3GHz,197528.00,Acer,Aspire 3,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,500GB HDD
s7,Apple MacBook Pro Intel Core i7 2.2GHz,1056759.99,Apple,MacBook Pro,"15.4""",Intel Core i7 2.2GHz,16GB,Intel Iris Pro Graphics,256GB Flash Storage
s8,Apple Macbook Air Intel Core i5 1.8GHz,572189.23,Apple,Macbook Air,"13.3""",Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,256GB Flash Storage
s9,Asus ZenBook UX430UN Intel Core i7 8550U 1.8GHz,738260.90,Asus,ZenBook UX430UN,"14.0""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,512GB SSD
s10,Acer Swift 3 Intel Core i5 8250U 1.6GHz,380241.40,Acer,Swift 3,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s11,HP 250 G6 Intel Core i5 7200U 2.5GHz,194515.70,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,500GB HDD
s12,HP 250 G6 Intel Core i3 6006U 2GHz,170362.96,HP,250 G6,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,500GB HDD
s13,Apple MacBook Pro Intel Core i7 2.8GHz,1204905.99,Apple,MacBook Pro,"15.4""",Intel Core i7 2.8GHz,16GB,AMD Radeon Pro 555,256GB SSD
s14,Dell Inspiron 3567 Intel Core i3 6006U 2GHz,246366.80,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,256GB SSD
s15,"Apple MacBook 12"" Intel Core M m3 1.2GHz",623398.37,Apple,"MacBook 12""","12.0""",Intel Core M m3 1.2GHz,8GB,Intel HD Graphics 615,256GB SSD
s16,Apple MacBook Pro Intel Core i5 2.3GHz,749890.36,Apple,MacBook Pro,"13.3""",Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,256GB SSD
s17,Dell Inspiron 3567 Intel Core i7 7500U 2.7GHz,367895.90,Dell,Inspiron 3567,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,256GB SSD
s18,Apple MacBook Pro Intel Core i7 2.9GHz,1411337.56,Apple,MacBook Pro,"15.4""",Intel Core i7 2.9GHz,16GB,AMD Radeon Pro 560,512GB SSD
s19,Lenovo IdeaPad 320-15IKB Intel Core i3 7100U 2.4GHz,246416.18,Lenovo,IdeaPad 320-15IKB,"15.6""",Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 940MX,1TB HDD
s20,Dell XPS 13 Intel Core i5 8250U 1.6GHz,483449.78,Dell,XPS 13,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,128GB SSD
s21,Asus Vivobook E200HA Intel Atom x5-Z8350 1.44GHz,94764.06,Asus,Vivobook E200HA,"11.6""",Intel Atom x5-Z8350 1.44GHz,2GB,Intel HD Graphics 400,32GB Flash Storage
s22,Lenovo Legion Y520-15IKBN Intel Core i5 7300HQ 2.5GHz,493326.18,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
s23,HP 255 G6 AMD E-Series E2-9000e 1.5GHz,127405.56,HP,255 G6,"15.6""",AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,500GB HDD
s24,Dell Inspiron 5379 Intel Core i5 8250U 1.6GHz,404438.58,Dell,Inspiron 5379,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s25,HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10) Intel Core i7 8550U 1.8GHz,325427.38,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Intel HD Graphics 620,256GB SSD
s26,Dell Inspiron 3567 Intel Core i3 6006U 2GHz,206732.80,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
s27,Apple MacBook Air Intel Core i5 1.6GHz,542708.18,Apple,MacBook Air,"13.3""",Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,128GB Flash Storage
s28,Dell Inspiron 5570 Intel Core i5 8250U 1.6GHz,395056.00,Dell,Inspiron 5570,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,256GB SSD
s29,Dell Latitude 5590 Intel Core i7 8650U 1.9GHz,640978.36,Dell,Latitude 5590,"15.6""",Intel Core i7 8650U 1.9GHz,8GB,Intel UHD Graphics 620,256GB SSD +  256GB SSD
s30,HP ProBook 470 Intel Core i5 8250U 1.6GHz,442462.72,HP,ProBook 470,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,1TB HDD
s31,"Chuwi LapBook 15.6"" Intel Atom x5-Z8300 1.44GHz",120980.96,Chuwi,"LapBook 15.6""","15.6""",Intel Atom x5-Z8300 1.44GHz,4GB,Intel HD Graphics,64GB Flash Storage
s32,Asus E402WA-GA010T (E2-6110/2GB/32GB/W10) AMD E-Series E2-6110 1.5GHz,98270.18,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),"14.0""",AMD E-Series E2-6110 1.5GHz,2GB,AMD Radeon R2,32GB Flash Storage
s33,HP 17-ak001nv (A6-9220/4GB/500GB/Radeon AMD A6-Series 9220 2.5GHz,216786.98,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,"17.3""",AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon 530,500GB HDD
s34,Dell XPS 13 Intel Core i7 8550U 1.8GHz,922949.58,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,512GB SSD
s35,Apple MacBook Air Intel Core i5 1.6GHz,492832.36,Apple,MacBook Air,"13.3""",Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,256GB Flash Storage
s36,Lenovo IdeaPad 120S-14IAP Intel Celeron Dual Core N3350 1.1GHz,122961.18,Lenovo,IdeaPad 120S-14IAP,"14.0""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,64GB Flash Storage
s37,Acer Aspire 3 Intel Core i3 7130U 2.7GHz,181231.94,Acer,Aspire 3,"15.6""",Intel Core i3 7130U 2.7GHz,4GB,Intel HD Graphics 620,1TB HDD
s38,Dell Inspiron 5770 Intel Core i5 8250U 1.6GHz,483449.78,Dell,Inspiron 5770,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
s39,HP 250 G6 Intel Core i5 7200U 2.5GHz,241324.90,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,1TB HDD
s40,HP ProBook 450 Intel Core i5 8250U 1.6GHz,434067.78,HP,ProBook 450,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX ,256GB SSD
s41,Asus X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux) Intel Core i3 6006U 2GHz,192095.98,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 620,1TB HDD
s42,Dell Inspiron 7577 Intel Core i7 7700HQ 2.8GHz,740236.18,Dell,Inspiron 7577,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
s43,Asus X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce Intel Core i5 7200U 2.5GHz,258262.92,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,1TB HDD
s44,Acer Aspire A515-51G Intel Core i5 8250U 1.6GHz,336785.24,Acer,Aspire A515-51G,"15.6""",Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,256GB SSD
s45,Dell Inspiron 7773 Intel Core i5 8250U 1.6GHz,493326.18,Dell,Inspiron 7773,"17.3""",Intel Core i5 8250U 1.6GHz,12GB,Nvidia GeForce 150MX,1TB HDD
s46,Apple MacBook Pro Intel Core i5 2.0GHz,700730.58,Apple,MacBook Pro,"13.3""",Intel Core i5 2.0GHz,8GB,Intel Iris Graphics 540,256GB SSD
s47,Lenovo IdeaPad 320-15ISK Intel Core i3 6006U 2GHz,182219.58,Lenovo,IdeaPad 320-15ISK,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,128GB SSD
s48,Asus Rog Strix AMD Ryzen 1700 3GHz,641472.18,Asus,Rog Strix,"17.3""",AMD Ryzen 1700 3GHz,8GB,AMD Radeon RX 580,256GB SSD +  1TB HDD
s49,Dell Inspiron 3567 Intel Core i5 7200U 2.5GHz,315550.98,Dell,Inspiron 3567,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,AMD Radeon R5 M430,256GB SSD
s50,Asus X751NV-TY001T (N4200/4GB/1TB/GeForce Intel Pentium Quad Core N4200 1.1GHz,230120.12,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,"17.3""",Intel Pentium Quad Core N4200 1.1GHz,4GB,Nvidia GeForce 920MX,1TB HDD
s51,Lenovo Yoga Book Intel Atom x5-Z8550 1.44GHz,157528.58,Lenovo,Yoga Book,"10.1""",Intel Atom x5-Z8550 1.44GHz,4GB,Intel HD Graphics 400,64GB Flash Storage
s52,Acer Aspire A515-51G Intel Core i7 8550U 1.8GHz,415302.62,Acer,Aspire A515-51G,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,256GB SSD
s53,HP 255 G6 AMD A6-Series 9220 2.5GHz,196782.33,HP,255 G6,"15.6""",AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,256GB SSD
s54,HP ProBook 430 Intel Core i7 8550U 1.8GHz,544683.46,HP,ProBook 430,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,512GB SSD
s55,Acer Aspire 3 Intel Core i3 7100U 2.4GHz,189626.88,Acer,Aspire 3,"15.6""",Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,1TB HDD
s56,Dell Inspiron 3576 Intel Core i7 8550U 1.8GHz,379155.00,Dell,Inspiron 3576,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 520,256GB SSD
s57,HP 15-bs002nv (i3-6006U/4GB/128GB/FHD/W10) Intel Core i3 6006U 2GHz,216786.98,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,128GB SSD
s58,Asus VivoBook Max Intel Core i5 7200U 2.5GHz,289472.35,Asus,VivoBook Max,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,256GB SSD
s59,MSI GS73VR 7RG Intel Core i7 7700HQ 2.8GHz,1209365.18,MSI,GS73VR 7RG,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  2TB HDD
s60,Asus X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux) Intel Core i3 6006U 2GHz,204935.30,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,256GB SSD
s61,Dell Inspiron 5770 Intel Core i7 8550U 1.8GHz,641472.18,Dell,Inspiron 5770,"17.3""",Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,256GB SSD +  2TB HDD
s62,Dell Vostro 5471 Intel Core i5 8250U 1.6GHz,434067.78,Dell,Vostro 5471,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s63,Lenovo IdeaPad 520S-14IKB Intel Core i3 7130U 2.7GHz,295798.18,Lenovo,IdeaPad 520S-14IKB,"14.0""",Intel Core i3 7130U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
s64,Asus UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10) Intel Core i5 8250U 1.6GHz,464684.62,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s65,HP 250 G6 Intel Core i5 7200U 2.5GHz,340735.80,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s66,Asus ZenBook Pro Intel Core i7 7700HQ 2.8GHz,979245.06,Asus,ZenBook Pro,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,512GB SSD
s67,HP 250 G6 Intel Core i3 6006U 2GHz,216633.90,HP,250 G6,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon 520,500GB HDD
s68,HP Stream 14-AX040wm Intel Celeron Dual Core N3060 1.6GHz,113084.78,HP,Stream 14-AX040wm,"14.0""",Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,32GB SSD
s69,Lenovo V310-15ISK (i5-7200U/4GB/1TB/FHD/W10) Intel Core i5 7200U 2.5GHz,271107.18,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,1TB HDD
s70,Asus FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce Intel Core i7 7700HQ 2.8GHz,468635.18,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,"17.3""",Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050 Ti,1TB HDD
s71,Microsoft Surface Laptop Intel Core i5 7200U 2.5GHz,537769.98,Microsoft,Surface Laptop,"13.5""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,128GB SSD
s72,Dell Inspiron 5370 Intel Core i7 8550U 1.8GHz,471598.10,Dell,Inspiron 5370,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,256GB SSD
s73,Dell Inspiron 5570 Intel Core i7 8550U 1.8GHz,429623.40,Dell,Inspiron 5570,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,256GB SSD
s74,MSI GL72M 7RDX Intel Core i5 7300HQ 2.5GHz,540732.90,MSI,GL72M 7RDX,"17.3""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
s75,Acer Aspire E5-475 Intel Core i3 6006U 2GHz,192095.98,Acer,Aspire E5-475,"14.0""",Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,1TB HDD
s76,Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce Intel Core i7 7700HQ 2.8GHz,468635.18,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
s77,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,256292.58,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,2TB HDD
s78,Dell Inspiron 5570 Intel Core i7 8550U 1.8GHz,422216.10,Dell,Inspiron 5570,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,128GB SSD +  1TB HDD
s79,Acer Aspire A515-51G-32MX Intel Core i3 7130U 2.7GHz,261724.60,Acer,Aspire A515-51G-32MX,"15.6""",Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,1TB HDD
s80,HP ProBook 470 Intel Core i5 8250U 1.6GHz,482462.14,HP,ProBook 470,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,128GB SSD +  1TB HDD
s81,Dell Latitude 5590 Intel Core i5 8250U 1.6GHz,541305.73,Dell,Latitude 5590,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s82,"Apple MacBook 12"" Intel Core i5 1.3GHz",745668.20,Apple,"MacBook 12""","12.0""",Intel Core i5 1.3GHz,8GB,Intel HD Graphics 615,512GB SSD
s83,HP ProBook 440 Intel Core i5 8250U 1.6GHz,424685.20,HP,ProBook 440,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,256GB SSD
s84,Lenovo IdeaPad 320-15AST AMD A6-Series 9220 2.5GHz,197034.18,Lenovo,IdeaPad 320-15AST,"15.6""",AMD A6-Series 9220 2.5GHz,4GB,AMD R4 Graphics,128GB SSD
s85,Acer Aspire 3 AMD A9-Series 9420 3GHz,195058.90,Acer,Aspire 3,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,1TB HDD
s86,Dell Inspiron 7577 Intel Core i7 7700HQ 2.8GHz,666163.18,Dell,Inspiron 7577,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
s87,HP Pavilion 15-CK000nv Intel Core i7 8550U 1.8GHz,345180.18,HP,Pavilion 15-CK000nv,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce GTX 940MX,256GB SSD
s88,HP 250 G6 Intel Core i5 7200U 2.5GHz,295793.24,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s89,Asus FX503VM-E4007T (i7-7700HQ/16GB/1TB Intel Core i7 7700HQ 2.8GHz,715545.18,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
s90,Dell XPS 13 Intel Core i7 8550U 1.8GHz,814309.18,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
s91,Asus FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon AMD FX 9830P 3GHz,345180.18,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,"15.6""",AMD FX 9830P 3GHz,8GB,AMD Radeon RX 560,1TB HDD
s92,Acer Aspire 5 Intel Core i7 8550U 1.8GHz,340241.98,Acer,Aspire 5,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,1TB HDD
s93,HP Probook 430 Intel Core i7 8550U 1.8GHz,591102.54,HP,Probook 430,"13.3""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,512GB SSD
s94,Dell Inspiron 7577 Intel Core i5 7300HQ 2.5GHz,590114.90,Dell,Inspiron 7577,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1060,256GB SSD
s95,Asus Zenbook UX430UA Intel Core i7 7500U 2.7GHz,518017.18,Asus,Zenbook UX430UA,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
s96,Acer Spin 5 Intel Core i5 8250U 1.6GHz,418265.54,Acer,Spin 5,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s97,Dell Inspiron 3567 Intel Core i7 7500U 2.7GHz,296242.62,Dell,Inspiron 3567,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,1TB HDD
s98,Dell Inspiron 3567 Intel Core i3 6006U 2GHz,239502.70,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,256GB SSD
s99,Asus X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce Intel Core i3 7100U 2.4GHz,284934.14,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,"15.6""",Intel Core i3 7100U 2.4GHz,6GB,Nvidia GeForce 920M,256GB SSD
s100,HP Omen 15-ce007nv Intel Core i7 7700HQ 2.8GHz,616781.18,HP,Omen 15-ce007nv,"15.6""",Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
s101,HP 15-bs017nv (i7-7500U/8GB/256GB/Radeon Intel Core i7 7500U 2.7GHz,355056.58,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon 530,256GB SSD
s102,HP 15-bw000nv (E2-9000e/4GB/500GB/Radeon AMD E-Series E2-9000e 1.5GHz,172343.18,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,"15.6""",AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,500GB HDD
s103,Dell Inspiron 3576 Intel Core i5 8250U 1.6GHz,319501.54,Dell,Inspiron 3576,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,1TB HDD
s104,HP Envy 13-ad009n Intel Core i7 7500U 2.7GHz,552584.58,HP,Envy 13-ad009n,"13.3""",Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce MX150,256GB SSD
s105,Microsoft Surface Laptop Intel Core i5 7200U 2.5GHz,661718.80,Microsoft,Surface Laptop,"13.5""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s106,HP Pavilion 14-BK001nv Intel Core i5 7200U 2.5GHz,325427.38,HP,Pavilion 14-BK001nv,"14.0""",Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce 940MX,256GB SSD
