ID,Name,Price,Mark,Model,Diagonal,Processor,The amount of RAM,Videocard,The amount of internal memory
s107,Lenovo Ideapad 310-15ISK Intel Core i3 6006U 2GHz,204885.92,Lenovo,Ideapad 310-15ISK,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
s108,Asus UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce Intel Core i7 7500U 2.7GHz,589127.26,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,256GB SSD
s109,MSI GP62M 7REX Intel Core i7 7700HQ 2.8GHz,641472.18,MSI,GP62M 7REX,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
s110,Lenovo Thinkpad T470 Intel Core i7 7500U 2.7GHz,730853.60,Lenovo,Thinkpad T470,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
s111,Asus VivoBook S15 Intel Core i7 8550U 1.8GHz,623200.84,Asus,VivoBook S15,"15.6""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,256GB SSD +  1TB HDD
s112,Dell XPS 13 Intel Core i7 7560U 2.4GHz,680977.78,Dell,XPS 13,"13.3""",Intel Core i7 7560U 2.4GHz,8GB,Intel Iris Plus Graphics 640,256GB SSD
s113,Lenovo ThinkPad Yoga Intel Core i5 7200U 2.5GHz,690854.18,Lenovo,ThinkPad Yoga,"13.3""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s114,HP Probook 440 Intel Core i5 8250U 1.6GHz,356538.04,HP,Probook 440,"14.0""",Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,500GB HDD
s115,Dell XPS 13 Intel Core i5 8250U 1.6GHz,804432.78,Dell,XPS 13,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s116,HP Spectre x360 Intel Core i5 8250U 1.6GHz,690849.24,HP,Spectre x360,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s117,HP Probook 440 Intel Core i7 8550U 1.8GHz,535300.88,HP,Probook 440,"14.0""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,512GB SSD
s118,Dell Inspiron 7570 Intel Core i7 8550U 1.8GHz,558179.56,Dell,Inspiron 7570,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,256GB SSD +  1TB HDD
s119,Asus X705UV-BX074T (i3-6006U/4GB/1TB/GeForce Intel Core i3 6006U 2GHz,278514.48,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,"17.3""",Intel Core i3 6006U 2GHz,4GB,Nvidia GeForce 920MX,1TB HDD
s120,Asus VivoBook S15 Intel Core i7 8550U 1.8GHz,552090.76,Asus,VivoBook S15,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,256GB SSD
s121,Acer Spin 3 Intel Core i3 7100U 2.4GHz,236539.78,Acer,Spin 3,"15.6""",Intel Core i3 7100U 2.4GHz,6GB,Intel HD Graphics 620,1TB HDD
s122,MSI GS63VR 7RG Intel Core i7 7700HQ 2.8GHz,1106897.53,MSI,GS63VR 7RG,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  2TB HDD
s123,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,310612.78,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,256GB SSD
s124,HP Probook 470 Intel Core i7 8550U 1.8GHz,627645.22,HP,Probook 470,"17.3""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 930MX ,512GB SSD
s125,Acer Aspire 3 AMD A9-Series 9420 3GHz,222712.82,Acer,Aspire 3,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,256GB SSD
s126,HP 250 G6 Intel Celeron Dual Core N3060 1.6GHz,127899.38,HP,250 G6,"15.6""",Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,500GB HDD
s127,HP Probook 440 Intel Core i5 8250U 1.6GHz,400981.84,HP,Probook 440,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,1TB HDD
s128,Asus E402WA-GA007T (E2-6110/4GB/64GB/W10 AMD E-Series 6110 1.5GHz,137277.02,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,"14.0""",AMD E-Series 6110 1.5GHz,4GB,AMD Radeon R2,64GB SSD
s129,Dell Inspiron 5770 Intel Core i7 8550U 1.8GHz,689372.72,Dell,Inspiron 5770,"17.3""",Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,256GB SSD +  2TB HDD
s130,HP ProBook 470 Intel Core i5 8250U 1.6GHz,458264.96,HP,ProBook 470,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s131,Dell Inspiron 5567 Intel Core i5 7200U 2.5GHz,315546.04,Dell,Inspiron 5567,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,AMD Radeon R7 M445,1TB HDD
s132,Dell Inspiron 3567 Intel Core i3 6006U 2GHz,221725.18,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,1TB HDD
s133,Acer Swift 3 Intel Core i7 8550U 1.8GHz,436536.88,Acer,Swift 3,"14.0""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
s134,Acer Aspire A515-51G-37JS Intel Core i3 7130U 2.7GHz,282465.04,Acer,Aspire A515-51G-37JS,"15.6""",Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,256GB SSD
s135,HP 15-BS078nr (i7-7500U/8GB/1TB/W10) Intel Core i7 7500U 2.7GHz,295304.36,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,1TB HDD
a1,HP Probook 440 Intel Core i7 8550U 1.8GHz,487894.16,HP,Probook 440,"14.0""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
a2,Lenovo V110-15IAP (N3350/4GB/1TB/No Intel Celeron Dual Core N3350 1.1GHz,124620.42,Lenovo,V110-15IAP (N3350/4GB/1TB/No,"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
a3,Asus FX753VD-GC086T (i5-7300HQ/8GB/1TB Intel Core i5 7300HQ 2.5GHz,463203.16,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,"17.3""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
a4,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,246416.18,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Nvidia GeForce 920MX,1TB HDD
a5,HP Envy 13-AD007nv Intel Core i5 7200U 2.5GHz,345180.18,HP,Envy 13-AD007nv,"13.3""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,256GB SSD
a6,Acer Aspire 5 Intel Core i3 7130U 2.7GHz,323452.10,Acer,Aspire 5,"17.3""",Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,1TB HDD
a7,Lenovo ThinkPad E480 Intel Core i5 8250U 1.6GHz,551113.00,Lenovo,ThinkPad E480,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,256GB SSD
a8,Lenovo Legion Y520-15IKBN Intel Core i7 7700HQ 2.8GHz,429129.58,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,256GB SSD
a9,Toshiba Satellite Pro Intel Core i5 6200U 2.3GHz,297279.64,Toshiba,Satellite Pro,"15.6""",Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,500GB HDD
a10,HP 255 G6 AMD A6-Series 9220 2.5GHz,182219.58,HP,255 G6,"15.6""",AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,256GB SSD
a11,Asus ZenBook UX430UA Intel Core i7 8550U 1.8GHz,542708.18,Asus,ZenBook UX430UA,"14.0""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
a12,HP EliteBook Folio Intel Core M 6Y75 1.2GHz,994553.48,HP,EliteBook Folio,"12.5""",Intel Core M 6Y75 1.2GHz,8GB,Intel HD Graphics 515,512GB SSD
a13,Asus X541NA (N3350/4GB/1TB/FHD/W10) Intel Celeron Dual Core N3350 1.1GHz,169874.08,Asus,X541NA (N3350/4GB/1TB/FHD/W10),"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
a14,MSI GE72MVR 7RG Intel Core i7 7700HQ 2.8GHz,1001960.78,MSI,GE72MVR 7RG,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
a15,Acer Aspire A315-51 Intel Core i3 6006U 2GHz,220737.54,Acer,Aspire A315-51,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
a16,Dell Inspiron 5577 Intel Core i7 7700HQ 2.8GHz,616909.57,Dell,Inspiron 5577,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,512GB SSD
a17,Dell Inspiron 7567 Intel Core i7 7700HQ 2.8GHz,443944.18,Dell,Inspiron 7567,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB Hybrid
a18,Lenovo V110-15IKB (i5-7200U/4GB/128GB/W10) Intel Core i5 7200U 2.5GHz,245922.36,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,128GB SSD
a19,MSI GE73VR 7RE Intel Core i7 7700HQ 2.8GHz,933319.80,MSI,GE73VR 7RE,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
a20,HP EliteBook 840 Intel Core i5 7500U 2.7GHz,534313.24,HP,EliteBook 840,"14.0""",Intel Core i5 7500U 2.7GHz,4GB,Intel HD Graphics 620,256GB SSD
a21,HP 15-BS103nv (i5-8250U/6GB/256GB/Radeon Intel Core i5 8250U 1.6GHz,305674.58,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,"15.6""",Intel Core i5 8250U 1.6GHz,6GB,AMD Radeon 520,256GB SSD
a22,Lenovo Yoga 520-14IKB Intel Core i3 7100U 2.4GHz,310612.78,Lenovo,Yoga 520-14IKB,"14.0""",Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,256GB SSD
a23,Asus ZenBook Flip Intel Core i5 8250U 1.6GHz,649373.30,Asus,ZenBook Flip,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,256GB SSD
a24,Dell Inspiron 5579 Intel Core i7 8550U 1.8GHz,518017.18,Dell,Inspiron 5579,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
a25,Toshiba Satellite Pro Intel Core i3 6006U 2.2GHz,220737.54,Toshiba,Satellite Pro,"15.6""",Intel Core i3 6006U 2.2GHz,4GB,Intel HD Graphics 520,500GB HDD
a26,Asus X555BP-XX180T (A9-9420/4GB/1TB/Radeon AMD A9-Series 9420 3GHz,199009.46,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5 M420,1TB HDD
a27,Acer Aspire A517-51G Intel Core i5 8250U 1.6GHz,397525.10,Acer,Aspire A517-51G,"17.3""",Intel Core i5 8250U 1.6GHz,4GB,Nvidia GeForce MX150,256GB SSD
a28,Dell Inspiron 3576 Intel Core i5 8250U 1.6GHz,359500.96,Dell,Inspiron 3576,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,256GB SSD
a29,Lenovo Legion Y520-15IKBN Intel Core i7 7700HQ 2.8GHz,532831.78,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,256GB SSD
a30,Acer Aspire A315-31 Intel Celeron Dual Core N3350 1.1GHz,171849.36,Acer,Aspire A315-31,"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
a31,MSI GE63VR 7RE Intel Core i7 7700HQ 2.8GHz,888382.18,MSI,GE63VR 7RE,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
a32,Acer Aspire 3 Intel Pentium Quad Core N4200 1.1GHz,179508.51,Acer,Aspire 3,"15.6""",Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,1TB HDD
a33,Dell Inspiron 5577 Intel Core i7 7700HQ 2.8GHz,523691.17,Dell,Inspiron 5577,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
a34,Acer Aspire A517-51G Intel Core i5 8250U 1.6GHz,421722.28,Acer,Aspire A517-51G,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,256GB SSD
a35,HP ProBook 430 Intel Core i5 8250U 1.6GHz,372340.28,HP,ProBook 430,"13.3""",Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,500GB HDD
a36,Huawei MateBook X Intel Core i5 7200U 2.5GHz,666163.18,Huawei,MateBook X,"13.0""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
a37,HP 17-bs001nv (i5-7200U/6GB/2TB/Radeon Intel Core i5 7200U 2.5GHz,345180.18,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,"17.3""",Intel Core i5 7200U 2.5GHz,6GB,AMD Radeon 520,2TB HDD
a38,Lenovo IdeaPad 320-15AST AMD A6-Series 9220 2.9GHz,152590.38,Lenovo,IdeaPad 320-15AST,"15.6""",AMD A6-Series 9220 2.9GHz,4GB,AMD Radeon R4 Graphics,500GB HDD
a39,Toshiba Satellite Pro Intel Core i3 7100U 2.4GHz,241477.98,Toshiba,Satellite Pro,"15.6""",Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,500GB HDD
a40,HP ProBook 470 Intel Core i5 8250U 1.6GHz,455795.86,HP,ProBook 470,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,256GB SSD
a41,Dell Inspiron 3567 Intel Core i3 7100U 2.4GHz,226663.38,Dell,Inspiron 3567,"15.6""",Intel Core i3 7100U 2.4GHz,8GB,Intel HD Graphics 620,1TB HDD
a42,Acer Aspire A315-51 Intel Core i3 6006U 2GHz,221725.18,Acer,Aspire A315-51,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,128GB SSD
a43,MSI GT80S 6QF-074US Intel Core i7 6920HQ 2.9GHz,1382202.18,MSI,GT80S 6QF-074US,"18.4""",Intel Core i7 6920HQ 2.9GHz,32GB,Nvidia GTX 980 SLI,512GB SSD +  1TB HDD
a44,Lenovo V310-15IKB (i5-7200U/8GB/1TB Intel Core i5 7200U 2.5GHz,401475.66,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,AMD R17M-M1-70,128GB SSD +  1TB HDD
a45,HP Spectre x360 Intel Core i5 8250U 1.6GHz,740236.18,HP,Spectre x360,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
a46,Dell Inspiron 5570 Intel Core i7 8550U 1.8GHz,518017.18,Dell,Inspiron 5570,"15.6""",Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,256GB SSD +  2TB HDD
a47,Dell XPS 13 Intel Core i5 8250U 1.6GHz,690854.18,Dell,XPS 13,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
a48,Lenovo Yoga 920-13IKB Intel Core i7 8550U 1.8GHz,913073.18,Lenovo,Yoga 920-13IKB,"13.9""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,512GB SSD
a49,Toshiba Satellite Pro Intel Core i5 7200U 2.5GHz,391599.26,Toshiba,Satellite Pro,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,128GB SSD
a50,Xiaomi Mi Notebook Intel Core i5 8250U 1.6GHz,592090.18,Xiaomi,Mi Notebook,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,256GB SSD
a51,Dell Inspiron 7773 Intel Core i7 8550U 1.8GHz,764927.18,Dell,Inspiron 7773,"17.3""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 150MX,512GB SSD
a52,Dell XPS 15 Intel Core i7 7700HQ 2.8GHz,1183686.54,Dell,XPS 15,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,512GB SSD
a53,Lenovo Legion Y520-15IKBN Intel Core i5 7300HQ 2.5GHz,384685.78,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,256GB SSD
a54,Acer Swift 7 Intel Core i5 7Y54 1.2GHz,488387.98,Acer,Swift 7,"13.3""",Intel Core i5 7Y54 1.2GHz,8GB,Intel HD Graphics 615,256GB SSD
a55,Dell Inspiron 5770 Intel Core i7 8550U 1.8GHz,535794.70,Dell,Inspiron 5770,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
a56,Lenovo Thinkpad Yoga Intel Core i7 7500U 2.7GHz,1394547.68,Lenovo,Thinkpad Yoga,"14.0""",Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,1TB SSD
a57,Vero K147 (N3350/4GB/32GB/FHD/W10) Intel Celeron Dual Core N3350 1.1GHz,128393.20,Vero,K147 (N3350/4GB/32GB/FHD/W10),"14.0""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,32GB Flash Storage
a58,Xiaomi Mi Notebook Intel Core i5 7200U 2.5GHz,493770.62,Xiaomi,Mi Notebook,"13.3""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce MX150,256GB SSD
a59,Lenovo IdeaPad 320-17IKBR Intel Core i5 8250U 1.6GHz,344686.36,Lenovo,IdeaPad 320-17IKBR,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce MX150,256GB SSD
a60,Dell Inspiron 5379 Intel Core i7 8550U 1.8GHz,414314.98,Dell,Inspiron 5379,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,1TB HDD
a61,HP ProBook 470 Intel Core i5 8250U 1.6GHz,451351.48,HP,ProBook 470,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,1TB HDD
a62,Razer Blade Pro Intel Core i7 7820HK 2.9GHz,3011808.18,Razer,Blade Pro,"17.3""",Intel Core i7 7820HK 2.9GHz,32GB,Nvidia GeForce GTX 1080,1TB SSD
a63,HP ProBook 430 Intel Core i5 8250U 1.6GHz,473573.38,HP,ProBook 430,"13.3""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,512GB SSD
a64,HP Omen 17-W295 Intel Core i7 7700HQ 2.8GHz,680977.78,HP,Omen 17-W295,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
a65,HP Probook 470 Intel Core i7 8550U 1.8GHz,516041.90,HP,Probook 470,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 930MX ,256GB SSD
a66,Dell Inspiron 7577 Intel Core i7 7700HQ 2.8GHz,911097.90,Dell,Inspiron 7577,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,512GB SSD +  1TB HDD
a67,Lenovo V110-15ISK (i5-6200U/4GB/128GB/W10) Intel Core i5 6200U 2.3GHz,243453.26,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),"15.6""",Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,128GB SSD
a68,Acer Aspire E5-576G Intel Core i7 7500U 2.7GHz,366414.44,Acer,Aspire E5-576G,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,1TB HDD
a69,Lenovo Legion Y720-15IKB Intel Core i7 7700HQ 2.8GHz,863691.18,Lenovo,Legion Y720-15IKB,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,512GB SSD +  1TB HDD
a70,Dell Precision 7520 Intel Xeon E3-1505M V6 3GHz,1508620.10,Dell,Precision 7520,"15.6""",Intel Xeon E3-1505M V6 3GHz,16GB,Nvidia Quadro M1200,256GB SSD +  1TB HDD
a71,Lenovo Legion Y520-15IKBN Intel Core i7 7700HQ 2.8GHz,690360.36,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,512GB SSD
a72,Dell Inspiron 3567 Intel Core i3 7100U 2.4GHz,216786.98,Dell,Inspiron 3567,"15.6""",Intel Core i3 7100U 2.4GHz,6GB,Intel HD Graphics 620,1TB HDD
a73,Dell XPS 13 Intel Core i7 8550U 1.8GHz,962455.18,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
a74,Dell XPS 13 Intel Core i7 8550U 1.8GHz,715545.18,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
a75,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,294810.54,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
a76,Acer Aspire 7 Intel Core i7 7700HQ 2.8GHz,384685.78,Acer,Aspire 7,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
a77,Asus ROG GL703VD-GC028T Intel Core i7 7700HQ 2.8GHz,694804.74,Asus,ROG GL703VD-GC028T,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
